2025-04-10 15-27-57	INFO	repository/user.go:56	User authentication successful	{"userID": "7118a9be-0b32-40fd-8f48-82848d7d889f", "email": "user2@example.com"}
2025-04-10 15-27-57	INFO	handler/user.go:72	Login successful	{"email": "user2@example.com"}
2025-04-10 15-27-57	INFO	jwt/jwt.go:46	Token verified	{"userId": "7118a9be-0b32-40fd-8f48-82848d7d889f", "role": "moderator"}
2025-04-10 15-27-57	INFO	handler/pvz.go:21	Creating new PVZ	{"request": {"City":"Москва"}}
2025-04-10 15-27-57	INFO	service/pvz.go:21	Calling repository to create PVZ	{"city": "Москва"}
2025-04-10 15-27-57	INFO	repository/pvz.go:29	Inserting new PVZ into database	{"city": "Москва"}
2025-04-10 15-27-57	INFO	repository/pvz.go:37	Successfully inserted PVZ	{"pvz": {"Id":"103bc325-9d1f-44b6-acfd-cd89dd63721f","RegistrationDate":"2025-04-10T12:27:57.721804Z","City":"Москва"}}
2025-04-10 15-27-57	INFO	service/pvz.go:29	Service successfully created PVZ	{"pvz": {"Id":"103bc325-9d1f-44b6-acfd-cd89dd63721f","RegistrationDate":"2025-04-10T12:27:57.721804Z","City":"Москва"}}
2025-04-10 15-27-57	INFO	handler/pvz.go:34	Successfully created PVZ	{"pvz": {"Id":"103bc325-9d1f-44b6-acfd-cd89dd63721f","RegistrationDate":"2025-04-10 12:27:57","City":"Москва"}}
2025-04-10 15-27-57	WARN	jwt/jwt.go:41	Access forbidden	{"requiredRole": "moderator", "claims": {"exp":1744374477,"iat":1744288077,"UserId":"6aaf1343-f9ae-47e8-ad84-cc3de3763093","Role":"employee"}}
2025-04-10 15-27-57	INFO	jwt/jwt.go:46	Token verified	{"userId": "6aaf1343-f9ae-47e8-ad84-cc3de3763093", "role": "employee"}
2025-04-10 15-27-57	INFO	service/reception.go:21	Calling repo to create reception	{"receptionId": "103bc325-9d1f-44b6-acfd-cd89dd63721f"}
2025-04-10 15-27-57	INFO	repository/reception.go:28	Creating new reception	{"pvzId": "103bc325-9d1f-44b6-acfd-cd89dd63721f"}
2025-04-10 15-27-57	INFO	repository/reception.go:42	Successfully created reception	{"receptionId": "0e18ea30-6160-43aa-964b-6d9be74063f1"}
2025-04-10 15-27-57	INFO	service/reception.go:29	Successfully created reception	{"receptionId": "0e18ea30-6160-43aa-964b-6d9be74063f1"}
2025-04-10 15-27-57	INFO	handler/reception.go:31	Reception created successfully	{"receptionId": "0e18ea30-6160-43aa-964b-6d9be74063f1", "pvzId": "103bc325-9d1f-44b6-acfd-cd89dd63721f"}
2025-04-10 15-27-57	INFO	jwt/jwt.go:46	Token verified	{"userId": "6aaf1343-f9ae-47e8-ad84-cc3de3763093", "role": "employee"}
2025-04-10 15-27-57	INFO	service/reception.go:21	Calling repo to create reception	{"receptionId": "103bc325-9d1f-44b6-acfd-cd89dd63721f"}
2025-04-10 15-27-57	INFO	repository/reception.go:28	Creating new reception	{"pvzId": "103bc325-9d1f-44b6-acfd-cd89dd63721f"}
2025-04-10 15-27-57	INFO	repository/reception.go:42	Successfully created reception	{"receptionId": "28b8edee-d2ba-4d6a-a97c-b774359ad1e4"}
2025-04-10 15-27-57	INFO	service/reception.go:29	Successfully created reception	{"receptionId": "28b8edee-d2ba-4d6a-a97c-b774359ad1e4"}
2025-04-10 15-27-57	INFO	handler/reception.go:31	Reception created successfully	{"receptionId": "28b8edee-d2ba-4d6a-a97c-b774359ad1e4", "pvzId": "103bc325-9d1f-44b6-acfd-cd89dd63721f"}
2025-04-10 15-29-00	INFO	repository/user.go:37	User created in database	{"userID": "d4443411-c492-497f-b4b0-e0b6021a5417", "email": "user2@example.com"}
2025-04-10 15-29-00	INFO	service/user.go:41	User successfully created	{"userID": "d4443411-c492-497f-b4b0-e0b6021a5417", "email": "user2@example.com"}
2025-04-10 15-29-00	INFO	handler/user.go:51	User registered successfully	{"userID": "d4443411-c492-497f-b4b0-e0b6021a5417", "email": "user2@example.com"}
2025-04-10 15-29-03	INFO	repository/user.go:56	User authentication successful	{"userID": "d4443411-c492-497f-b4b0-e0b6021a5417", "email": "user2@example.com"}
2025-04-10 15-29-03	INFO	handler/user.go:72	Login successful	{"email": "user2@example.com"}
2025-04-10 15-29-19	INFO	jwt/jwt.go:46	Token verified	{"userId": "d4443411-c492-497f-b4b0-e0b6021a5417", "role": "moderator"}
2025-04-10 15-29-19	INFO	handler/pvz.go:21	Creating new PVZ	{"request": {"City":"Москва"}}
2025-04-10 15-29-19	INFO	service/pvz.go:21	Calling repository to create PVZ	{"city": "Москва"}
2025-04-10 15-29-19	INFO	repository/pvz.go:29	Inserting new PVZ into database	{"city": "Москва"}
2025-04-10 15-29-19	INFO	repository/pvz.go:37	Successfully inserted PVZ	{"pvz": {"Id":"904883c6-3b27-44bf-87d5-dfe00e467df4","RegistrationDate":"2025-04-10T12:29:19.501282Z","City":"Москва"}}
2025-04-10 15-29-19	INFO	service/pvz.go:29	Service successfully created PVZ	{"pvz": {"Id":"904883c6-3b27-44bf-87d5-dfe00e467df4","RegistrationDate":"2025-04-10T12:29:19.501282Z","City":"Москва"}}
2025-04-10 15-29-19	INFO	handler/pvz.go:34	Successfully created PVZ	{"pvz": {"Id":"904883c6-3b27-44bf-87d5-dfe00e467df4","RegistrationDate":"2025-04-10 12:29:19","City":"Москва"}}
2025-04-10 15-29-37	WARN	jwt/jwt.go:34	Invalid or expired token	{"error": "token contains an invalid number of segments"}
2025-04-10 15-30-57	INFO	service/user.go:97	Dummy token created	{"role": "employee"}
2025-04-10 15-30-57	INFO	handler/user.go:28	Dummy login successful	{"role": "employee"}
2025-04-10 15-30-57	INFO	repository/user.go:37	User created in database	{"userID": "d99eae43-d21e-4034-9743-7314e65bbb40", "email": "user@example.com"}
2025-04-10 15-30-57	INFO	service/user.go:41	User successfully created	{"userID": "d99eae43-d21e-4034-9743-7314e65bbb40", "email": "user@example.com"}
2025-04-10 15-30-57	INFO	handler/user.go:51	User registered successfully	{"userID": "d99eae43-d21e-4034-9743-7314e65bbb40", "email": "user@example.com"}
2025-04-10 15-30-57	INFO	repository/user.go:37	User created in database	{"userID": "b008614a-507e-40a6-be23-fe14add32791", "email": "user2@example.com"}
2025-04-10 15-30-57	INFO	service/user.go:41	User successfully created	{"userID": "b008614a-507e-40a6-be23-fe14add32791", "email": "user2@example.com"}
2025-04-10 15-30-57	INFO	handler/user.go:51	User registered successfully	{"userID": "b008614a-507e-40a6-be23-fe14add32791", "email": "user2@example.com"}
2025-04-10 15-30-57	INFO	repository/user.go:56	User authentication successful	{"userID": "d99eae43-d21e-4034-9743-7314e65bbb40", "email": "user@example.com"}
2025-04-10 15-30-57	INFO	handler/user.go:72	Login successful	{"email": "user@example.com"}
2025-04-10 15-30-57	INFO	repository/user.go:56	User authentication successful	{"userID": "d4443411-c492-497f-b4b0-e0b6021a5417", "email": "user2@example.com"}
2025-04-10 15-30-57	INFO	handler/user.go:72	Login successful	{"email": "user2@example.com"}
2025-04-10 15-30-57	INFO	jwt/jwt.go:46	Token verified	{"userId": "d4443411-c492-497f-b4b0-e0b6021a5417", "role": "moderator"}
2025-04-10 15-30-57	INFO	handler/pvz.go:21	Creating new PVZ	{"request": {"City":"Москва"}}
2025-04-10 15-30-57	INFO	service/pvz.go:21	Calling repository to create PVZ	{"city": "Москва"}
2025-04-10 15-30-57	INFO	repository/pvz.go:29	Inserting new PVZ into database	{"city": "Москва"}
2025-04-10 15-30-57	INFO	repository/pvz.go:37	Successfully inserted PVZ	{"pvz": {"Id":"1be3f6ab-6aef-4ad1-ad90-980f4d580f68","RegistrationDate":"2025-04-10T12:30:57.799187Z","City":"Москва"}}
2025-04-10 15-30-57	INFO	service/pvz.go:29	Service successfully created PVZ	{"pvz": {"Id":"1be3f6ab-6aef-4ad1-ad90-980f4d580f68","RegistrationDate":"2025-04-10T12:30:57.799187Z","City":"Москва"}}
